sector,property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 70,flat,shree vardhman victoria,1.75,8205.0,2132.85,3.0,5.0,3,7.0,New Property,1527.0,0,1,1,0,0,0,37,710.9499999999999
sector 68,flat,m3m ikonic,1.8,9230.0,1950.16,3.0,3.0,3+,18.0,Relatively New,1845.0,0,0,0,0,0,2,126,650.0533333333334
sector 65,flat,m3m skycity,3.0,16411.0,1828.04,3.0,3.0,3,17.0,Under Construction,1828.04,0,0,0,0,0,0,99,609.3466666666667
sector 52,flat,pgr shree kripaluji apartment,1.4,6086.0,2300.36,3.0,3.0,3+,8.0,Relatively New,2556.0,0,0,0,0,0,2,80,766.7866666666667
sector 78,flat,umang monsoon breeze,0.88,4746.0,1854.19,3.0,4.0,3,8.0,Moderately Old,1668.0,0,1,1,0,0,0,111,618.0633333333334
sector 102,flat,shapoorji pallonji joyville gurugram,2.12,16960.0,1250.0,3.0,3.0,3,9.0,Relatively New,1852.0,0,0,0,0,0,0,72,416.6666666666667
sector 52,house,raj villas,8.0,25543.0,3132.0,6.0,5.0,3+,4.0,New Property,3132.0,0,0,0,0,0,0,0,522.0
sector 51,flat,housing board colony,0.3,4630.0,648.0,1.0,1.0,0,0.0,Moderately Old,80.0,0,0,0,0,1,0,15,648.0
sector 112,flat,experion windchants,2.8,11470.0,2441.15,2.0,3.0,2,9.0,Relatively New,2441.15,0,0,1,0,1,0,137,1220.575
sector 65,flat,m3m heights,2.78,15200.0,1828.95,3.0,3.0,3,44.0,Relatively New,1828.95,0,0,0,0,0,0,56,609.65
sohna road,flat,raheja maheshwara,0.48,4367.0,1099.15,2.0,2.0,2,11.0,Under Construction,995.0,0,0,0,0,0,0,45,549.575
sector 102,flat,shapoorji pallonji joyville gurugram,1.1,12181.0,903.05,2.0,2.0,1,8.0,Under Construction,817.0,0,0,0,0,0,0,105,451.525
sector 113,flat,tata gurgaon gateway,2.45,10786.0,2271.46,3.0,3.0,3,8.0,Relatively New,2014.0,0,0,0,0,0,0,110,757.1533333333333
sector 99a,flat,pareena coban residences,1.08,6625.0,1630.19,3.0,5.0,3,2.0,Relatively New,1750.0,1,0,1,0,0,0,49,543.3966666666666
sector 81,flat,bestech park view ananda,0.88,8042.0,1094.26,2.0,2.0,3,8.0,Relatively New,1223.0,0,0,0,0,1,2,95,547.13
sector 85,flat,ss,1.98,8222.0,2408.17,3.0,4.0,3,6.0,Relatively New,2300.0,0,0,0,0,0,0,42,802.7233333333334
sushant lok,house,ansal sushant lok,10.5,27911.0,3762.0,4.0,4.0,2.0,2.0,Old Property,3762.0,0,0,1,0,0,0,59,940.5
sector 22,flat,ambience creacions,4.1,28101.0,1459.02,3.0,3.0,3+,2.0,New Property,2069.0,0,0,0,0,0,1,119,486.34
sector 60,flat,ireo skyon,2.15,23344.0,921.01,2.0,3.0,2,5.0,Relatively New,1250.0,0,0,1,0,0,2,49,460.505
sector 80,flat,godrej frontier,1.1,5705.0,1928.13,3.0,3.0,3,8.0,Moderately Old,1580.0,0,0,1,0,0,0,111,642.71
sector 104,flat,ats triumph,2.0,8733.0,2290.16,3.0,4.0,3+,4.0,Relatively New,2072.0,0,0,1,0,0,0,60,763.3866666666667
sector 54,flat,dlf park place,4.85,25866.0,1875.05,3.0,4.0,3+,25.0,Relatively New,1875.05,0,0,1,0,0,2,26,625.0166666666667
sohna road,flat,trisara our homes 3,0.4,6561.0,609.66,2.0,2.0,1,0.0,New Property,669.0,0,0,0,0,0,2,90,304.83
sector 53,flat,parsvnath exotica,4.8,14680.0,3269.75,3.0,4.0,3+,12.0,New Property,2895.0,0,0,0,0,0,0,69,1089.9166666666667
dlf phase,house,independent,3.5,32407.0,1080.0,2.0,4.0,3.0,3.0,Old Property,1080.0,0,0,0,0,0,0,15,540.0
sector 37c,flat,imperia the esfera,0.86,5449.0,1578.27,2.0,3.0,3,9.0,Relatively New,1442.0,1,0,0,0,1,0,49,789.135
sector 50,house,unitech south city,5.88,27222.0,2160.0,3.0,9.0,3+,3.0,Relatively New,2160.0,1,1,1,0,1,1,128,720.0
sector 67,house,ireo victory valley,8.0,22222.0,3600.0,6.0,7.0,3+,51.0,Moderately Old,3600.0,0,1,1,0,1,2,49,600.0
sector 50,house,independent,11.58,35741.0,3240.0,5.0,5.0,3.0,2.0,Moderately Old,3240.0,0,0,1,0,0,0,20,648.0
sector 108,flat,experion the heartsong,1.2,6825.0,1758.24,3.0,3.0,3+,10.0,Relatively New,1275.0,0,0,0,0,1,0,93,586.08
sector 110,flat,indiabulls enigma,4.0,9851.0,4060.5,4.0,4.0,3,17.0,New Property,3350.0,0,0,0,0,0,0,59,1015.125
sector 69,flat,tulip violet,1.75,9459.0,1850.09,3.0,4.0,2,0.0,Relatively New,2056.0,0,0,0,0,0,2,174,616.6966666666666
mehrauli gurgaon,flat,essel towers,2.75,12500.0,2200.0,4.0,5.0,3+,8.0,Old Property,2200.0,0,0,1,0,1,1,128,550.0
sector 37d,flat,ramprastha the edge towers,0.75,5319.0,1410.04,2.0,2.0,3,19.0,Moderately Old,1410.0,0,0,0,0,0,0,63,705.02
sector 86,flat,dlf the skycourt,1.5,9740.0,1540.04,3.0,3.0,3+,18.0,Relatively New,1780.0,0,0,0,0,1,0,174,513.3466666666667
sector 103,flat,signature global grand iva,0.23,6527.0,352.38,1.0,1.0,1,4.0,Relatively New,400.0,0,0,0,0,0,0,23,352.38
sector 83,flat,emaar palm gardens,1.4,8139.0,1720.11,3.0,3.0,3,2.0,Relatively New,1387.0,0,1,1,1,1,2,174,573.37
sector 85,flat,ss the leaf,2.7,7754.0,3482.07,4.0,4.0,3+,23.0,New Property,3151.0,0,0,0,0,0,0,21,870.5175
sector 56,flat,the lions cghs,2.0,8333.0,2400.1,4.0,4.0,3,8.0,Relatively New,2253.0,1,0,0,0,0,2,49,600.025
sector 48,house,vipul tatvam villa,7.25,27971.0,2592.0,3.0,4.0,2.0,2.0,Moderately Old,2592.0,0,1,1,1,1,2,115,864.0
sector 33,house,unitech uniworld resorts,8.0,17778.0,4499.9,6.0,5.0,3+,4.0,Relatively New,4499.9,0,0,0,0,0,0,0,749.9833333333332
sector 22,flat,ambience creacions,3.99,12912.0,3090.15,3.0,5.0,3+,3.0,New Property,2796.0,0,0,1,0,0,1,102,1030.05
sector 72,flat,tata primanti,4.0,16032.0,2495.01,4.0,5.0,3+,22.0,Relatively New,2701.0,0,0,1,0,0,2,174,623.7525
sector 33,flat,unitech the residences,1.1,9909.0,1110.1,2.0,2.0,3,9.0,Moderately Old,1100.0,0,0,0,0,0,2,44,555.05
sector 89,flat,smart world gems,1.2,8433.0,1422.98,3.0,3.0,2,2.0,New Property,1423.0,0,0,0,0,0,0,45,474.32666666666665
sector 13,house,independent,0.9,11464.0,785.1,2.0,4.0,3.0,3.0,Moderately Old,785.0,1,1,1,0,1,0,0,392.55
sector 56,house,ansal sushant lok 2,3.4,22222.0,1530.0,6.0,6.0,3+,2.0,Moderately Old,1530.0,0,0,0,0,0,2,29,255.0
sector 69,flat,tulip violet,1.4,8928.0,1568.1,3.0,3.0,1,12.0,Relatively New,1376.0,0,1,0,0,0,0,174,522.6999999999999
sector 61,flat,smart world orchard,2.41,14785.0,1630.03,3.0,3.0,3,2.0,New Property,1630.0,0,0,0,0,0,0,61,543.3433333333334
sector 91,flat,tarc maceo,1.75,11121.0,1573.6,4.0,3.0,3+,8.0,Relatively New,2106.0,0,1,1,1,1,0,128,393.4
sector 66,house,emaar mgf marbella,9.0,21251.0,4235.1,4.0,4.0,3+,2.0,Relatively New,5200.0,0,1,1,1,0,2,114,1058.775
sohna road,flat,silverglades the melia,0.78,5777.0,1350.18,2.0,2.0,3,9.0,Under Construction,1222.0,0,0,0,0,1,0,72,675.09
sector 109,flat,ats kocoon,2.95,10350.0,2850.24,4.0,4.0,3+,7.0,Relatively New,3150.0,0,0,1,1,0,2,158,712.56
sector 12,flat,511 sarahah tower,0.6,8333.0,720.03,2.0,2.0,1,0.0,New Property,800.0,0,1,0,0,0,1,0,360.015
sector 40,house,independent,2.1,23333.0,900.0,3.0,3.0,2.0,3.0,Moderately Old,900.0,1,0,0,0,0,2,35,300.0
sector 81,flat,bestech park view ananda,1.15,6927.0,1660.17,3.0,2.0,3+,12.0,Relatively New,1352.0,0,0,0,0,0,0,101,553.39
sector 50,house,unitech aspen greens,7.0,32407.0,2160.0,4.0,4.0,2.0,2.0,Old Property,2160.0,0,0,1,0,0,0,29,540.0
