sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 7,house,huda flats,2.3,17037.0,1350.0,Plot area 150(125.42 sq.m.),5.0,3.0,3+,3.0,North-East,Old Property,,1350.0,,0,1,1,0,1,0,27,270.0
sushant lok,house,ansal sushant lok plots,5.8,29974.0,1935.0,Plot area 215(179.77 sq.m.),6.0,6.0,3.0,2.0,South-West,Relatively New,,1935.0,,1,0,1,0,0,2,49,322.5
sector 102,flat,emaar imperial gardens,1.98,9900.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3.0,3.0,3+,9.0,North,Relatively New,,,2000.0,0,0,1,0,0,2,72,666.6666666666666
sector 109,flat,ats kocoon,1.7,9742.0,1745.02,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),3.0,3.0,3,22.0,East,Relatively New,1745.0,1550.0,,0,0,0,0,0,0,74,581.6733333333333
sector 108,flat,sobha city,2.6,15195.0,1711.09,Super Built up area 1711(158.96 sq.m.),3.0,3.0,2,8.0,East,Relatively New,1711.0,,,0,0,0,0,0,0,99,570.3633333333333
sector 70,flat,shree vardhman victoria,1.9,9743.0,1950.12,Super Built up area 1950(181.16 sq.m.),3.0,3.0,3,10.0,North-East,New Property,1950.0,,,1,1,1,1,0,0,36,650.04
sector 65,flat,m3m skycity,2.85,15590.0,1828.09,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,43.0,South,Under Construction,1828.0,,,0,0,0,0,0,0,115,609.3633333333333
sector 108,flat,raheja vedaanta,1.0,4854.0,2060.16,Built Up area: 2060 (191.38 sq.m.)Carpet area: 1890 sq.ft. (175.59 sq.m.),2.0,2.0,2,0.0,North,Undefined,,2060.0,1890.0,0,0,0,0,0,0,0,1030.08
sector 109,flat,ats tourmaline,1.5,8571.0,1750.09,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),3.0,3.0,3+,7.0,North-East,Relatively New,1750.0,1466.0,,0,0,0,0,0,0,165,583.3633333333333
sector 50,house,independent,13.2,27155.0,4861.0,Built Up area: 4861 (451.6 sq.m.),6.0,6.0,0,2.0,,Undefined,,4861.0,,0,0,0,0,0,0,0,810.1666666666666
sector 104,flat,ats triumph,2.55,13076.0,1950.14,Super Built up area 3150(292.64 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4.0,4.0,3+,21.0,East,Relatively New,3150.0,,1950.0,0,0,1,0,0,0,150,487.535
sector 86,flat,dlf the skycourt,1.72,8916.0,1929.12,Super Built up area 1929(179.21 sq.m.),3.0,3.0,1,8.0,North,Relatively New,1929.0,,,1,0,0,0,0,2,49,643.04
sector 9a,flat,jammu and kashmir bank employees cghs,0.95,6129.0,1550.01,Super Built up area 1550(144 sq.m.),3.0,3.0,2,5.0,West,Moderately Old,1550.0,,,1,0,0,0,0,0,30,516.67
